id,passage,question_type,question,correct_answer,user_answer,standard_evidence,user_evidence,reasoning_process,review_status,reviewer_label,reviewer_failed_step,reviewer_notes,reviewer_id,reviewer_role,qualification_attested,independence_attested,review_track,review_protocol_version,reviewed_at
"review_strategy_05","No payments are accepted after the registration deadline.","TRUE_FALSE_NOT_GIVEN","Applicants can pay after the deadline.","FALSE","NOT GIVEN","No payments are accepted after the registration deadline.","No payments are accepted after the registration deadline.","I knew the answer was unsupported, so I used Not Given instead of checking contradiction.","pending","","","","","","false","","","",""
"review_strategy_06","The survey shows that 62 percent preferred option A.","TRUE_FALSE_NOT_GIVEN","A majority preferred option A.","TRUE","NOT GIVEN","The survey shows that 62 percent preferred option A.","The survey shows that 62 percent preferred option A.","My rule was that the passage must use the word majority for the answer to be True.","pending","","","","","","false","","","",""
"review_strategy_07","The first train departs at 06:10. The timetable does not list when the final train leaves.","TRUE_FALSE_NOT_GIVEN","The final train leaves before midnight.","NOT GIVEN","FALSE","The timetable does not list when the final train leaves.","The timetable does not list when the final train leaves.","I marked False because the departure time was not listed.","pending","","","","","","false","","","",""
"review_strategy_08","The study found no difference between the two groups in reading speed.","TRUE_FALSE_NOT_GIVEN","One group read faster than the other.","FALSE","NOT GIVEN","The study found no difference between the two groups in reading speed.","The study found no difference between the two groups in reading speed.","I used Not Given because the passage did not say which group was faster.","pending","","","","","","false","","","",""
"review_inference_01","The university installed more water fountains across the campus in June.","TRUE_FALSE_NOT_GIVEN","Students drank more water after June.","NOT GIVEN","TRUE","The university installed more water fountains across the campus in June.","The university installed more water fountains across the campus in June.","More fountains probably make students drink more, so I selected True.","pending","","","","","","false","","","",""
"review_inference_02","People who reported longer sleep also performed better on the memory test.","TRUE_FALSE_NOT_GIVEN","Longer sleep caused the improvement in memory performance.","NOT GIVEN","TRUE","People who reported longer sleep also performed better on the memory test.","People who reported longer sleep also performed better on the memory test.","The association must mean longer sleep caused the better result.","pending","","","","","","false","","","",""
"review_inference_03","A café placed outdoor tables beside the river during the summer.","TRUE_FALSE_NOT_GIVEN","The café earned more money during the summer.","NOT GIVEN","TRUE","A café placed outdoor tables beside the river during the summer.","A café placed outdoor tables beside the river during the summer.","Outdoor tables usually attract customers, so revenue must have increased.","pending","","","","","","false","","","",""
"review_inference_04","The town planted 200 trees along its busiest roads.","TRUE_FALSE_NOT_GIVEN","Air pollution in the town decreased.","NOT GIVEN","TRUE","The town planted 200 trees along its busiest roads.","The town planted 200 trees along its busiest roads.","Trees improve air quality in real life, so pollution probably decreased.","pending","","","","","","false","","","",""
"review_inference_05","The company allowed staff to begin work between seven and ten in the morning.","TRUE_FALSE_NOT_GIVEN","Employee satisfaction increased after flexible starting times were introduced.","NOT GIVEN","TRUE","The company allowed staff to begin work between seven and ten in the morning.","The company allowed staff to begin work between seven and ten in the morning.","Flexible hours normally make people happier, so I assumed satisfaction rose.","pending","","","","","","false","","","",""
"review_inference_06","The school library purchased 500 new science books.","TRUE_FALSE_NOT_GIVEN","Students achieved higher science grades.","NOT GIVEN","TRUE","The school library purchased 500 new science books.","The school library purchased 500 new science books.","More books should improve grades, so the statement seemed true.","pending","","","","","","false","","","",""
"review_inference_07","The hospital shortened the average waiting time for initial appointments.","TRUE_FALSE_NOT_GIVEN","Patients became healthier because appointments were faster.","NOT GIVEN","TRUE","The hospital shortened the average waiting time for initial appointments.","The hospital shortened the average waiting time for initial appointments.","Shorter waits must improve health outcomes, even though they are not stated.","pending","","","","","","false","","","",""
"review_inference_08","Several houses with solar panels had lower electricity bills than nearby houses without them.","TRUE_FALSE_NOT_GIVEN","Installing solar panels will reduce every household’s electricity bill.","NOT GIVEN","TRUE","Several houses with solar panels had lower electricity bills than nearby houses without them.","Several houses with solar panels had lower electricity bills than nearby houses without them.","The examples prove that solar panels always reduce bills for every house.","pending","","","","","","false","","","",""
"review_insufficient_01","The library remains open until nine during examination week.","TRUE_FALSE_NOT_GIVEN","The library closes at nine during examination week.","TRUE","FALSE","The library remains open until nine during examination week.","","","pending","","","","","","false","","","",""
"review_insufficient_02","The bridge reopened after engineers completed a safety inspection.","TRUE_FALSE_NOT_GIVEN","A safety inspection occurred before the bridge reopened.","TRUE","FALSE","The bridge reopened after engineers completed a safety inspection.","","I selected False.","pending","","","","","","false","","","",""
"review_insufficient_03","Membership increased by ten percent in the second year.","TRUE_FALSE_NOT_GIVEN","Membership grew in year two.","TRUE","FALSE","Membership increased by ten percent in the second year.","Membership increased by ten percent in the second year.","","pending","","","","","","false","","","",""
"review_insufficient_04","The factory reduced packaging waste after changing suppliers.","TRUE_FALSE_NOT_GIVEN","Changing suppliers was followed by less packaging waste.","TRUE","FALSE","The factory reduced packaging waste after changing suppliers.","Unrelated evidence","I chose an unrelated phrase.","pending","","","","","","false","","","",""
"review_ambiguous_01","Leah told Maria that she would lead the workshop.","TRUE_FALSE_NOT_GIVEN","Maria would lead the workshop.","AMBIGUOUS","TRUE","Leah told Maria that she would lead the workshop.","Leah told Maria that she would lead the workshop.","I assumed she referred to Maria.","pending","","","","","","false","","","",""
"review_ambiguous_02","The old and new sensors were tested beside the furnace, which was later replaced.","TRUE_FALSE_NOT_GIVEN","The new sensor was later replaced.","AMBIGUOUS","TRUE","The old and new sensors were tested beside the furnace, which was later replaced.","The old and new sensors were tested beside the furnace, which was later replaced.","I read which as referring to the new sensor.","pending","","","","","","false","","","",""
"review_ambiguous_03","After the manager spoke with the designer, they revised the plan.","TRUE_FALSE_NOT_GIVEN","The designer revised the plan.","AMBIGUOUS","TRUE","After the manager spoke with the designer, they revised the plan.","After the manager spoke with the designer, they revised the plan.","I assumed they meant the designer alone.","pending","","","","","","false","","","",""
"review_data_error_01","The route is closed whenever the river exceeds the warning level.","TRUE_FALSE_NOT_GIVEN","High river levels can close the route.","TRUE","FALSE","This quote is not present in the passage.","The route is closed whenever the river exceeds the warning level.","I thought the route stayed open.","pending","","","","","","false","","","",""
"review_data_error_02","The museum opens at ten from Tuesday to Sunday.","TRUE_FALSE_NOT_GIVEN","The museum opens at ten on Monday.","FALSE","TRUE","","The museum opens at ten from Tuesday to Sunday.","I assumed the schedule included Monday.","pending","","","","","","false","","","",""
"review_insufficient_05","The trial involved two groups of equal size.","TRUE_FALSE_NOT_GIVEN","Both trial groups contained the same number of people.","TRUE","FALSE","The trial involved two groups of equal size.","The trial involved two groups of equal size.","Wrong.","pending","","","","","","false","","","",""
